PubChemID,Name,SMILE,Class,class.
6032,Kanamycin,O([C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CN)[C@@H](N)C[C@H]1N)[C@H]1O[C@@H]([C@@H](O)[C@H](N)[C@H]1O)CO,negative,0
6082,Methoxamine,O[C@@H]([C@H](N)C)c1c(OC)ccc(OC)c1,negative,0
6087,Methicillin,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)c1c(OC)cccc1OC,negative,0
6251,Mannitol,O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,negative,0
6256,Trifluridine,FC(F)(F)c1cn([C@@H]2O[C@@H]([C@@H](O)C2)CO)c(=O)[nH]c1=O,negative,0
6296,Trypan blue,S(=O)(=O)(O)C1=Cc2c(c(N)cc(S(=O)(=O)O)c2)C(=O)/C/1=N/Nc1c(cc(c2cc(c(N/N=C/3\C(=Cc4c(c(N)cc(S(=O)(=O)O)c4)C3=O)S(=O)(=O)O)cc2)C)cc1)C,negative,0
6476,Methsuximide,O=C1N(C(=O)C[C@@]1(c1ccccc1)C)C,negative,0
6729,Buclizine,Clc1ccc([C@H](N2CCN(CC2)Cc2ccc(C(C)(C)C)cc2)c2ccccc2)cc1,negative,0
6834,Brompheniramine,Brc1ccc([C@H](CCN(C)C)c2ncccc2)cc1,negative,0
6883,Isosorbide dinitrate,O1[C@H]2[C@H](OC[C@H]2ON(=O)=O)[C@@H](ON(=O)=O)C1,negative,0
7028,Pseudoephedrine,O[C@H]([C@@H](NC)C)c1ccccc1,negative,0
7029,Diethylpropion,O=C([C@H](N(CC)CC)C)c1ccccc1,negative,0
7638,Monobenzone,O(Cc1ccccc1)c1ccc(O)cc1,negative,0
7697,Chlorphenesin,Clc1ccc(OC[C@H](O)CO)cc1,negative,0
7699,Benzonatate,O(CCOCCOCCOCCOCCOC)CCOCCOCCOCCOC(=O)c1ccc(NCCCC)cc1,negative,0
7700,Nonoxynol,O(c1ccc(CCCCCCCCC)cc1)CCO,negative,0
8223,Ergotamine,O1[C@]2(O)N([C@H](C(=O)N3[C@H]2CCC3)Cc2ccccc2)C(=O)[C@@]1(NC(=O)[C@H]1CN([C@H]2C(=C1)c1c3c(C2)c[nH]c3ccc1)C)C,negative,0
8226,Methylergonovine,O=C(N[C@@H](CC)CO)[C@H]1CN([C@H]2C(=C1)c1c3c(C2)c[nH]c3ccc1)C,negative,0
8378,Neomycin,O([C@H]1[C@H](O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2N)CN)[C@@H](N)C[C@@H](N)[C@@H]1O)[C@@H]1O[C@@H]([C@@H](O[C@H]2O[C@H]([C@@H](O)[C@H](O)[C@H]2N)CN)[C@H]1O)CO,negative,0
8550,Deserpidine,O([C@@H]1[C@H]([C@@H]2[C@@H](CN3[C@H](C2)c2[nH]c4c(c2CC3)cccc4)C[C@H]1OC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC)C,negative,0
8612,Chloroprocaine,Clc1c(C(=O)OCCN(CC)CC)ccc(N)c1,negative,0
8730,Dextrothyroxine,Ic1cc(C[C@@H](N)C(=O)O)cc(I)c1Oc1cc(I)c(O)c(I)c1,negative,0
8759,Edetate disodium,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,negative,0
9642,Fluocinonide,F[C@@]12[C@H]([C@H]3[C@@]([C@@]4(OC(O[C@@H]4C3)(C)C)C(=O)COC(=O)C)(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@]21C,negative,0
9681,Methysergide,O=C(N[C@@H](CC)CO)[C@H]1CN([C@H]2C(=C1)c1c3c(C2)cn(c3ccc1)C)C,negative,0
9878,Fluorometholone,F[C@@]12[C@H]([C@H]3[C@@]([C@](O)(CC3)C(=O)C)(C[C@@H]1O)C)C[C@@H](C1=CC(=O)C=C[C@]21C)C,negative,0
10531,Dihydroergotamine,O1[C@]2(O)N([C@H](C(=O)N3[C@H]2CCC3)Cc2ccccc2)C(=O)[C@@]1(NC(=O)[C@@H]1C[C@H]2[C@H](N(C1)C)Cc1c3c2cccc3[nH]c1)C,negative,0
10548,Echothiophate,S(P(=O)(OCC)OCC)CC[N+](C)(C)C,negative,0
10607,Podofilox,O1C[C@H]2[C@@H]([C@@H](c3c([C@@H]2O)cc2OCOc2c3)c2cc(OC)c(OC)c(OC)c2)C1=O,negative,0
10836,Methamphetamine,N([C@H](Cc1ccccc1)C)C,negative,0
10917,Levocarnitine,O[C@@H](C[N+](C)(C)C)CC(=O)O,negative,0
11057,Gentian violet,N(c1ccc(/C(=C\2/C=CC(=[N+](C)C)C=C2)/c2ccc(N(C)C)cc2)cc1)(C)C,negative,0
11273,Formestane,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=C(O)C(=O)CC4)CC3)C)CC2)CC1)C,negative,0
11289,Chlorotrianisene,Cl/C(=C(/c1ccc(OC)cc1)\c1ccc(OC)cc1)/c1ccc(OC)cc1,negative,0
11333,Lactulose,O([C@H]1[C@H](O)[C@@](O[C@@H]1CO)(O)CO)[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)CO,negative,0
11693,Glycopyrrolate,O([C@H]1C[N+](CC1)(C)C)C(=O)[C@@](O)(C1CCCC1)c1ccccc1,negative,0
12620,Docosanol,OCCCCCCCCCCCCCCCCCCCCCC,negative,0
13769,Testolactone,O1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)CC2)CCC1=O)C,negative,0
